                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.4628,                 1.7512,                 1.5449,                0.56574,                0.56814,                0.56761,                0.51855,                 1.6381,                 1.7665,                  1.737,               0.007558,               0.007558,               0.007558
                     76,                 1.4529,                  1.747,                 1.5357,                0.52589,                 0.5862,                0.57282,                0.52642,                 1.6246,                 1.7137,                 1.7354,               0.007525,               0.007525,               0.007525
                     77,                 1.4548,                 1.7631,                 1.5443,                0.58086,                0.57722,                0.59702,                0.54607,                  1.595,                 1.6703,                 1.7295,               0.007492,               0.007492,               0.007492
                     78,                 1.4388,                 1.7233,                 1.5306,                0.56258,                0.56736,                0.56968,                0.52377,                 1.5819,                 1.7425,                 1.7091,               0.007459,               0.007459,               0.007459
                     79,                 1.4459,                 1.7227,                 1.5289,                0.56419,                0.57243,                0.57486,                0.52735,                 1.5967,                 1.7248,                 1.7192,               0.007426,               0.007426,               0.007426
                     80,                  1.425,                 1.7149,                 1.5259,                0.58316,                0.58524,                0.59404,                0.54217,                 1.5987,                 1.6935,                 1.7257,               0.007393,               0.007393,               0.007393
                     81,                 1.4237,                 1.7129,                 1.5224,                0.60311,                0.56079,                0.56941,                0.51655,                 1.6303,                 1.7128,                 1.7255,                0.00736,                0.00736,                0.00736
                     82,                 1.4298,                 1.7096,                 1.5204,                0.58152,                0.56876,                0.59208,                0.54564,                 1.5934,                 1.6383,                 1.7193,               0.007327,               0.007327,               0.007327
                     83,                 1.4309,                 1.6983,                 1.5242,                0.55681,                0.54794,                 0.5753,                0.52646,                 1.6053,                 1.7243,                  1.742,               0.007294,               0.007294,               0.007294
                     84,                 1.4238,                 1.6908,                 1.5112,                0.62724,                0.54925,                0.60475,                0.55329,                 1.6513,                 1.7218,                 1.7385,               0.007261,               0.007261,               0.007261
                     85,                 1.4368,                 1.7046,                  1.526,                0.62637,                0.58132,                0.61024,                0.55244,                 1.6141,                 1.6862,                 1.7277,               0.007228,               0.007228,               0.007228
                     86,                 1.4125,                 1.6838,                 1.5051,                0.55868,                0.59947,                0.59082,                0.53764,                 1.6073,                 1.6784,                 1.7391,               0.007195,               0.007195,               0.007195
                     87,                 1.4339,                 1.7009,                 1.5257,                 0.5535,                0.58107,                0.57254,                0.52636,                 1.6128,                 1.6882,                 1.7138,               0.007162,               0.007162,               0.007162
                     88,                 1.4167,                  1.673,                 1.5152,                0.61326,                0.57498,                0.60354,                0.55527,                 1.6241,                 1.6352,                 1.7271,               0.007129,               0.007129,               0.007129
                     89,                 1.4105,                 1.6786,                 1.5029,                0.59055,                0.56572,                0.60338,                0.55483,                 1.6039,                 1.6513,                  1.713,               0.007096,               0.007096,               0.007096
